Ближний Восток	Blízký Východ
Венгрия	Maďarsko
Венера	Venuše
Германия	Německo
Земля	Země
Индо-Китай	Indočína
Ирак	Írák
Иран	Írán
Кашмир	Kašmír
Китай	Čína
Марс	Mars
Прага	Praha
Россия	Rusko
Хезболлах	Hizballáh
Япония	Japonsko
а	a
а	ale
аббатство	budova opatství
аббатство	opatství
аббревиатура	zkratka
абдоминальная	abdominální
аберрация	aberace
абзац	odstavec
абонемент	permanentka
абонемент	předplatní lístek
абонент	předplatitel
абоненты	předplatitelé
абориген	domorodec
аборигенный	rodilý
аборигены	domorodci
аборт	potrat
аборты	potraty
абракадабра	čárymáry
абрикос	meruňka
абрикосы	meruňky
абрис	náčrt
абсорбент	absorbent
абсорбер	absorbér
абсорбировать	nasát
абсорбировать	pohltit
абсорбировать	vstřebat
абсорбция	absorpce
абсорбция	pohlcení
абсорбция	vstřebávání
абстрактный	abstraktní
абстракции	abstrakce
абсурд	absurdita
абсурд	nesmyslnost
автобиография	vlastní životopis
автотурист	autoturista
агентство	agentura
агентство	jednatelství
агентство	pobočka
агентство	zastupitelství
агентство	úřad
агитировать	agitovat
актёр	herec
алоэ	aloe
антенна	tykadlo
антический мир	antika
античность	antika
антрекот	roštěná
аптека	lékárna
аргумент	argument
архитектурные памятникы	architektonické památky
аспект	aspekt
ателье	ateliér
атлас автомобильных дорог	autoatlas
аудиенция	audience
аудитория	diváci
аудитория	hlediště
аудитория	obecenstvo
аудитория	posluchárna
аудитория	publikum
бабочка	motýl
бабушка	babička
багажник	nosič
байдарка	kajak
балка	nosník
балка	trám
банальный	banální
бандит	bandita
банк	banka
банкир	bankéř
бекас	kritizovat
бензоколонка	benzínová pumpa
бескорыстный	nezištný
бесперебойное движение	plynulá doprava
библиотека	knihovna
библиотекарь	knihovník
биография	životopis
битва	bitva
близкий	blízký
близлежащий	blízký
близорукий	krátkozraký
блин	slaný lívanec
блузка	blůza
блюдце	podšálek
блюдце	talířek
бокал	sklenice
бокал	sklenka
бокал	číše
боксер	boxer
болезненый	bolestivý
болезнь	nemoc
болеть	bolet
больница	nemocnice
больше	více
больше	větší
большинство	většina
большой	velký
борщ	boršč
боязнь	obava
брить	holit
бросать	házet
брошюра	brožura
букашка	brouček
бульвар	bulvár
бульон с вермишелью	masový bujón s nudlemi
бульон с фрикадельками	knedlíčková polévka
бумажка	papírek
буря	bouřka
бутерброд	obložený chlebíček
бутылочное пиво	lahvové pivo
буфет	bufet
бухгалтер	účetní
быть	být (existovat)
быть должен	dlužit
бюро	kancelář
бюро	oddělení
бюро путешествий	cestovní kancelář
бюро туризма	turistická kancelář
бюстгальтер	restaurace
в самом деле	ve skutečnosti
вагоновожатый	řidič tramvaje
важность	význam
ваза	váza
вареники	vařené taštičky
вежливость	uctivost
вернуть	vrátit 
вернуться	vrátit se
вертел	gril
вертел	rožeň
весна	jarní
весна	jaro
весна	úsvit
весь	celý
весь	celý
весь	všechen
ветхость	havarijní stav
ветчина	šunka
вещь	věc
взбивалка	šlehač
взломщик	lamač
вилка	vidlička
винегрет	zeleninový salát
вино	víno
вкус	chuť
вкусный	chutný
влюблёный	zamilovaný
внеочередной отруск	mimořádná dovolená
внештатный	externí
внимание	pozor
